"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1850855287693230119","Mon Oct 28 11:01:02 +0000 2024","3","wishlist ikut raceku itu bukan bormar bukan maybank marathon atau word major marathon. tapi alfamart run","1850855287693230119","","","in","","0","0","0","https://x.com/undefined/status/1850855287693230119","1463896022699053056",
"1850747971299844189","Mon Oct 28 09:27:08 +0000 2024","0","@skinbrotha Tapi ingat ya kawan kawan beda event beda isi racepack nya. Sejauh ini. Hanya Alfamartrun lah yg banyak bgt itu printilanya. Sekelas event lari besar Jogmar Borobudur sama Maybank marathon gk sebanyak itu dan setengahnya gak ada","1850831657349324970","","skinbrotha","in","","0","0","0","https://x.com/undefined/status/1850831657349324970","498715842",
"1850338885911609421","Mon Oct 28 07:25:34 +0000 2024","0","@ezash WTS Onpoint Muscle Gun Features Heating and Cooling Edisi maybank marathon blom pernah dipakai. Buka box hanya utk pastiin nyala. Harga 1.6jt lokasi jakarta pusat sudirman #KhilafClubOktober https://t.co/om7CseKbBX","1850801063286489091","https://pbs.twimg.com/media/Ga9dwItaIAA3nkz.jpg","ezash","in","","0","0","0","https://x.com/undefined/status/1850801063286489091","157634840",
"1850508941974999352","Sun Oct 27 12:04:47 +0000 2024","0","pengin ikut full marathon lagi. keinget gimana kudu bangun paginya. berangkat pas masih gelap. flag off pun masih gelap. shalat subuh di jalan. saling cheering sesama pelari bahkan ngobrol. sampe vibes ke garis finish-nya. next fm btn jakim? atau maybank? atau bomar?","1850508941974999352","","","in","","0","0","0","https://x.com/undefined/status/1850508941974999352","1194256351926476803",
"1850372653280112908","Sun Oct 27 09:56:13 +0000 2024","0","@tirta_cipeng Pernah ketemu &amp; foto bareng di event Maybank Marathon kemarin asli ramah banget pak dokter ","1850476587931570246","","tirta_cipeng","in","","0","0","0","https://x.com/undefined/status/1850476587931570246","37886662",
"1850205712464687540","Sat Oct 26 15:59:51 +0000 2024","0","Tadi plan dgn bonnie and amir nk join maybank marathon 2025..","1850205712464687540","","","in","","0","0","0","https://x.com/undefined/status/1850205712464687540","460880687",
"1849354159029645744","Thu Oct 24 07:36:05 +0000 2024","0","Aku pake St.Ives radiant skin dpt dr racepack maybank marathon. Abis maskeran kulit berasa mulus puol dan tak pake jg buat maskeran ketek. Btw pengen review produk lain yg di etalase itu boleh ga sih? ","1849354159029645744","","","in","","0","1","0","https://x.com/undefined/status/1849354159029645744","1219075224420798464",
"1848324264140644722","Mon Oct 21 11:23:39 +0000 2024","0","Akhir September lalu dua peserta lari Maybank Marathon yakni Polniwati Salim dan Suwandi berhasil mendapatkan slot lari pada event marathon terkemuka di dunia https://t.co/Usc2taaSYB","1848324264140644722","","","in","","0","0","0","https://x.com/undefined/status/1848324264140644722","135783107",
"1847442842358337904","Sat Oct 19 01:01:12 +0000 2024","0","Siapkan fisik dan kebutuhan lainnya untuk wujudkan performa lari terbaik di Maybank Marathon 2025. Tersedia paket travel Maybank Marathon 2025 dengan kunjungi Golden Rama dan Yuk Travel atau pembelian online di website resmi masing-masing travel. Manfaatkan cicilan 0% hingga 6 https://t.co/gOfgv27Mv5","1847442842358337904","https://pbs.twimg.com/media/GaNveWnbUAAazQI.jpg","","in","","0","0","0","https://x.com/undefined/status/1847442842358337904","212543328",
"1846614325362118798","Wed Oct 16 18:08:58 +0000 2024","0","Woelah jarang liat akun temen kuliah sekalinya nongol ga sengaja ngeliat di diikuti oleh terus aku klik akunnya. Shock banget astagaaaaa kemaren doi abis ikut maybank marathon Padahal dulunya ga keliatan jadi runner doi tukang ngelawak","1846614325362118798","","","in","","0","1","0","https://x.com/undefined/status/1846614325362118798","144791145",
"1846159910717083884","Tue Oct 15 12:03:17 +0000 2024","1","Selamat Berjuang! Dua Peserta Maybank Marathon Menuju Boston Marathon https://t.co/PXAOgmLB94","1846159910717083884","","","in","","0","0","0","https://x.com/undefined/status/1846159910717083884","231355136",
"1845807906442428816","Mon Oct 14 13:17:10 +0000 2024","1","@hrdbacot @mengevaluarchi atur2 deh buat maybank marathon terus ke luwuk banggai nya","1845816116909850987","","hrdbacot","in","","0","0","0","https://x.com/undefined/status/1845816116909850987","1129614961183846400",
"1844987816230769087","Sat Oct 12 11:45:09 +0000 2024","0","@hangeoleum_ @apeachnuna sekedar saran agustus taun depan baiknya ikutan maybank marathon om","1845068183184736696","","hangeoleum_","in","","0","0","0","https://x.com/undefined/status/1845068183184736696","177518008",
"1845045526456303793","Sat Oct 12 10:28:29 +0000 2024","2","@txtdarisugab Sekarang sudah kuat dan makin kenceng lah ya mas bagus haha Udah siap buat tahun depan maybank marathon ya","1845048889637994804","","txtdarisugab","in","","0","0","0","https://x.com/undefined/status/1845048889637994804","185134452",
"1844778552295645463","Fri Oct 11 16:34:15 +0000 2024","0","Balot maybank dapet. Balot bormar dapet. Balot presale oasis aussie tour dapet meskipun tiketnya belum tentu dapet Coba se desember melok balot berlin marathon oleh ta gak ","1844778552295645463","","","in","","0","0","0","https://x.com/undefined/status/1844778552295645463","324166564",
"1844671108521603467","Fri Oct 11 09:32:24 +0000 2024","0","K gurau. On the serious note Saucony aku hilang dekat airport Bali lepas Maybank Marathon tu kaninaa","1844672388283383948","","wan_tesla","in","","0","0","0","https://x.com/undefined/status/1844672388283383948","232385646",
"1844609353732472964","Fri Oct 11 05:21:55 +0000 2024","0","Btw kukuku lepas 5 biji dari akarnya karna full marathon maybank bulan lalu ","1844609353732472964","","","in","","0","0","0","https://x.com/undefined/status/1844609353732472964","1744324925924794368",
"1844339436949311675","Thu Oct 10 11:29:22 +0000 2024","0","so far tetap Maybank Marathon ter rapih tahun ini ","1844339436949311675","","","in","","0","0","0","https://x.com/undefined/status/1844339436949311675","200473567",
"1844269199524495871","Thu Oct 10 06:50:16 +0000 2024","0","sad nya itu race maybank marathon itu race terakhir di tahu ini ","1844269199524495871","","","in","","0","0","0","https://x.com/undefined/status/1844269199524495871","104446324",
"1843837186720051210","Wed Oct 09 09:13:22 +0000 2024","0","@Bali_Football Coba cek akta kepemilikan lahan atasnama klub apa perorangan? Soalnya lapangan latihannya kok masi bisa disewakan pihak luar penyelengaraan maybank marathon ","1843942824578023847","","Bali_Football","in","","0","0","0","https://x.com/undefined/status/1843942824578023847","1757376756305256448",
"1843550297626685668","Tue Oct 08 07:13:37 +0000 2024","0","Dampak Ekonomi Penyelenggaraan Event Maybank Marathon di Bali https://t.co/ekdf1hrHBU","1843550297626685668","","","in","","0","0","0","https://x.com/undefined/status/1843550297626685668","552523769",
"1843340033304211848","Mon Oct 07 17:18:06 +0000 2024","0","Ajang Maybank Marathon 2024 Sumbang Rp125 Miliar bagi Ekonomi Bali https://t.co/nlCJbuyWeG","1843340033304211848","","","in","","0","0","0","https://x.com/undefined/status/1843340033304211848","4755284968",
"1843339309027602483","Mon Oct 07 17:15:13 +0000 2024","0","Maybank Marathon Sukses Digelar Ini Sederet Dampak Positif Bagi Perekonomian Bali https://t.co/xxyNxEhHTQ","1843339309027602483","","","in","","0","0","0","https://x.com/undefined/status/1843339309027602483","47274731",
